Car_ID,Brand,Model,Model_Ye,Kilometer,Fuel_Type,Transmiss,Owner_Ty,Engine_CC,Max_Pow,Mileage_k,Seats,Condition_Score,Accidents,Price_USD
ID_00001,Brilliance,V3,2018,171835,Diesel,Automatic,Second,1000,69,19.9,5,1,0,2000
ID_00002,Kia,EV6,2019,76365,Diesel,Automatic,First,1200,89,21.7,5,6,1,2000
ID_00003,Porsche,Macan,2020,206907,Petrol,Automatic,Second,1600,149,20.9,5,10,0,24358
ID_00004,Kia,Carnival,2011,218855,Diesel,Manual,First,1000,107,15.9,5,4,0,2000
ID_00005,Alfa Romeo,Giulia,2011,82756,Petrol,Automatic,First,2500,196,14.1,5,1,0,2000
ID_00006,GMC,Yukon,2015,172963,Hybrid,Manual,First,2000,155,21.7,5,7,0,2000
ID_00007,XPeng,P7,2017,184290,Electric,Automatic,Second,1600,154,10.4,5,10,1,2000
ID_00008,BMW,X1,2019,6830,Electric,Automatic,Second,3000,246,13.4,7,6,1,10644
ID_00009,Mercedes-Benz,GLE,2018,175832,Diesel,Manual,First,2000,167,16.6,5,8,0,7466
ID_00010,Kia,Carnival,2023,45256,Petrol,Automatic,Fourth & Above,2000,143,10.9,5,6,0,9190
ID_00011,Genesis,G90,2018,144925,Diesel,Manual,Second,1200,125,10.2,5,9,0,13803
ID_00012,JAC,SEI3,2017,42347,Electric,Manual,Second,1000,68,14.8,5,10,0,9106
ID_00013,Audi,A3,2010,83295,Hybrid,Manual,Fourth & Above,1600,153,11.4,5,3,0,2061
ID_00014,Changan,CS35,2012,77305,Hybrid,Manual,First,1200,79,14.1,5,6,0,2000
ID_00015,Subaru,Impreza,2021,208018,Hybrid,Manual,First,1200,128,18.3,5,5,0,2000
ID_00016,Ram,1500,2010,89064,Diesel,Automatic,Second,1200,83,21.7,5,5,1,2000
ID_00017,Nissan,370Z,2023,155411,Diesel,Automatic,First,1000,117,18.1,5,4,0,2187
ID_00018,DS,DS3,2024,143978,Hybrid,Manual,Fourth & Above,1200,112,15.9,5,7,0,5939
ID_00019,Cadillac,CTS,2010,133630,Hybrid,Automatic,Second,2000,135,11.9,5,7,0,2000
ID_00020,Tesla,Model X,2022,32770,Petrol,Manual,Third,3000,206,11.1,2,9,1,19418
ID_00021,SsangYong,Rexton,2017,183189,Hybrid,Manual,Third,1200,105,13.8,5,1,0,2000
ID_00022,Rivian,R1T,2016,166987,Diesel,Automatic,First,1600,118,12.6,5,5,0,2000
ID_00023,BYD,Dolphin,2012,16977,Hybrid,Automatic,First,1000,68,19.9,5,1,0,2000
ID_00024,Acura,ILX,2022,31663,Diesel,Manual,First,3000,251,17.6,2,9,0,29474
ID_00025,Subaru,XV,2011,167365,Electric,Manual,Second,1000,101,18.3,5,7,1,2000
ID_00026,Subaru,Impreza,2023,120075,Hybrid,Manual,First,1000,82,16.6,5,1,1,2000
ID_00027,XPeng,G3,2018,88261,Diesel,Automatic,First,1600,153,11.0,5,4,0,2000
ID_00028,Chevrolet,Spark,2021,141723,Electric,Automatic,First,2000,139,17.8,5,2,0,2000
ID_00029,Renault,Logan,2015,167154,Electric,Automatic,First,2000,167,14.6,5,9,0,2000
ID_00030,Tesla,Model S,2012,76676,Hybrid,Manual,Third,1600,113,16.6,5,3,0,3387
ID_00031,Brilliance,V5,2014,46199,Petrol,Automatic,First,2000,164,17.2,5,1,1,2000
ID_00032,Lucid,Air,2012,208722,Diesel,Automatic,First,1600,125,20.6,5,4,0,2000
ID_00033,Wuling,Almaz,2011,88036,Petrol,Automatic,Third,1600,104,21.9,5,5,0,2000
